chargerId,locationId,connectorId,connectorNumber,connectorType
EH-US-CHG-0001,US*EHB*LOC*USA001,CON-US-0001,1,CCS-2
EH-US-CHG-0002,US*EHB*LOC*USA001,CON-US-0002,1,CCS-2
EH-US-CHG-0003,US*EHB*LOC*USA001,CON-US-0003,1,CCS-2
EH-US-CHG-0004,US*EHB*LOC*USA001,CON-US-0004,1,CCS-2
EH-US-CHG-0005,US*EHB*LOC*USA001,CON-US-0005,1,CCS-2
EH-US-CHG-0006,US*EHB*LOC*USA002,CON-US-0006,1,CCS-2
EH-US-CHG-0007,US*EHB*LOC*USA002,CON-US-0007,1,CCS-2
EH-US-CHG-0008,US*EHB*LOC*USA002,CON-US-0008,1,CCS-2
EH-US-CHG-0009,US*EHB*LOC*USA002,CON-US-0009,1,CCS-2
EH-US-CHG-0010,US*EHB*LOC*USA002,CON-US-0010,1,CCS-2
EH-US-CHG-0011,US*EHB*LOC*USA003,CON-US-0011,1,CCS-2
EH-US-CHG-0012,US*EHB*LOC*USA003,CON-US-0012,1,CCS-2
EH-US-CHG-0013,US*EHB*LOC*USA003,CON-US-0013,1,CCS-2
EH-US-CHG-0014,US*EHB*LOC*USA003,CON-US-0014,1,CCS-2
EH-US-CHG-0015,US*EHB*LOC*USA003,CON-US-0015,1,CCS-2
EH-US-CHG-0016,US*EHB*LOC*USA004,CON-US-0016,1,CCS-2
EH-US-CHG-0017,US*EHB*LOC*USA004,CON-US-0017,1,CCS-2
EH-US-CHG-0018,US*EHB*LOC*USA004,CON-US-0018,1,CCS-2
EH-US-CHG-0019,US*EHB*LOC*USA004,CON-US-0019,1,CCS-2
EH-US-CHG-0020,US*EHB*LOC*USA004,CON-US-0020,1,CCS-2
EH-US-CHG-0021,US*EHB*LOC*USA005,CON-US-0021,1,CCS-2
EH-US-CHG-0022,US*EHB*LOC*USA005,CON-US-0022,1,CCS-2
EH-US-CHG-0023,US*EHB*LOC*USA005,CON-US-0023,1,CCS-2
EH-US-CHG-0024,US*EHB*LOC*USA005,CON-US-0024,1,CCS-2
EH-US-CHG-0025,US*EHB*LOC*USA005,CON-US-0025,1,CCS-2
EH-US-CHG-0026,US*EHB*LOC*USA006,CON-US-0026,1,CCS-2
EH-US-CHG-0027,US*EHB*LOC*USA006,CON-US-0027,1,CCS-2
EH-US-CHG-0028,US*EHB*LOC*USA006,CON-US-0028,1,CCS-2
EH-US-CHG-0029,US*EHB*LOC*USA006,CON-US-0029,1,CCS-2
EH-US-CHG-0030,US*EHB*LOC*USA006,CON-US-0030,1,CCS-2
EH-US-CHG-0031,US*EHB*LOC*USA007,CON-US-0031,1,CCS-2
EH-US-CHG-0032,US*EHB*LOC*USA007,CON-US-0032,1,CCS-2
EH-US-CHG-0033,US*EHB*LOC*USA007,CON-US-0033,1,CCS-2
EH-US-CHG-0034,US*EHB*LOC*USA007,CON-US-0034,1,CCS-2
EH-US-CHG-0035,US*EHB*LOC*USA007,CON-US-0035,1,CCS-2
EH-US-CHG-0036,US*EHB*LOC*USA008,CON-US-0036,1,CCS-2
EH-US-CHG-0037,US*EHB*LOC*USA008,CON-US-0037,1,CCS-2
EH-US-CHG-0038,US*EHB*LOC*USA008,CON-US-0038,1,CCS-2
EH-US-CHG-0039,US*EHB*LOC*USA008,CON-US-0039,1,CCS-2
EH-US-CHG-0040,US*EHB*LOC*USA008,CON-US-0040,1,CCS-2
EH-US-CHG-0041,US*EHB*LOC*USA009,CON-US-0041,1,CCS-2
EH-US-CHG-0042,US*EHB*LOC*USA009,CON-US-0042,1,CCS-2
EH-US-CHG-0043,US*EHB*LOC*USA009,CON-US-0043,1,CCS-2
EH-US-CHG-0044,US*EHB*LOC*USA009,CON-US-0044,1,CCS-2
EH-US-CHG-0045,US*EHB*LOC*USA009,CON-US-0045,1,CCS-2
EH-US-CHG-0046,US*EHB*LOC*USA010,CON-US-0046,1,CCS-2
EH-US-CHG-0047,US*EHB*LOC*USA010,CON-US-0047,1,CCS-2
EH-US-CHG-0048,US*EHB*LOC*USA010,CON-US-0048,1,CCS-2
EH-US-CHG-0049,US*EHB*LOC*USA010,CON-US-0049,1,CCS-2
EH-US-CHG-0050,US*EHB*LOC*USA010,CON-US-0050,1,CCS-2
EH-US-CHG-0051,US*EHB*LOC*USA011,CON-US-0051,1,CCS-2
EH-US-CHG-0052,US*EHB*LOC*USA011,CON-US-0052,1,CCS-2
EH-US-CHG-0053,US*EHB*LOC*USA011,CON-US-0053,1,CCS-2
EH-US-CHG-0054,US*EHB*LOC*USA011,CON-US-0054,1,CCS-2
EH-US-CHG-0055,US*EHB*LOC*USA011,CON-US-0055,1,CCS-2
EH-US-CHG-0056,US*EHB*LOC*USA012,CON-US-0056,1,CCS-2
EH-US-CHG-0057,US*EHB*LOC*USA012,CON-US-0057,1,CCS-2
EH-US-CHG-0058,US*EHB*LOC*USA012,CON-US-0058,1,CCS-2
EH-US-CHG-0059,US*EHB*LOC*USA012,CON-US-0059,1,CCS-2
EH-US-CHG-0060,US*EHB*LOC*USA012,CON-US-0060,1,CCS-2
EH-US-CHG-0061,US*EHB*LOC*USA013,CON-US-0061,1,CCS-2
EH-US-CHG-0062,US*EHB*LOC*USA013,CON-US-0062,1,CCS-2
EH-US-CHG-0063,US*EHB*LOC*USA013,CON-US-0063,1,CCS-2
EH-US-CHG-0064,US*EHB*LOC*USA013,CON-US-0064,1,CCS-2
EH-US-CHG-0065,US*EHB*LOC*USA013,CON-US-0065,1,CCS-2
EH-US-CHG-0066,US*EHB*LOC*USA014,CON-US-0066,1,CCS-2
EH-US-CHG-0067,US*EHB*LOC*USA014,CON-US-0067,1,CCS-2
EH-US-CHG-0068,US*EHB*LOC*USA014,CON-US-0068,1,CCS-2
EH-US-CHG-0069,US*EHB*LOC*USA014,CON-US-0069,1,CCS-2
EH-US-CHG-0070,US*EHB*LOC*USA014,CON-US-0070,1,CCS-2
EH-US-CHG-0071,US*EHB*LOC*USA015,CON-US-0071,1,CCS-2
EH-US-CHG-0072,US*EHB*LOC*USA015,CON-US-0072,1,CCS-2
EH-US-CHG-0073,US*EHB*LOC*USA015,CON-US-0073,1,CCS-2
EH-US-CHG-0074,US*EHB*LOC*USA015,CON-US-0074,1,CCS-2
EH-US-CHG-0075,US*EHB*LOC*USA015,CON-US-0075,1,CCS-2
EH-US-CHG-0076,US*EHB*LOC*USA016,CON-US-0076,1,CCS-2
EH-US-CHG-0077,US*EHB*LOC*USA016,CON-US-0077,1,CCS-2
EH-US-CHG-0078,US*EHB*LOC*USA016,CON-US-0078,1,CCS-2
EH-US-CHG-0079,US*EHB*LOC*USA016,CON-US-0079,1,CCS-2
EH-US-CHG-0080,US*EHB*LOC*USA016,CON-US-0080,1,CCS-2
EH-US-CHG-0081,US*EHB*LOC*USA017,CON-US-0081,1,CCS-2
EH-US-CHG-0082,US*EHB*LOC*USA017,CON-US-0082,1,CCS-2
EH-US-CHG-0083,US*EHB*LOC*USA017,CON-US-0083,1,CCS-2
EH-US-CHG-0084,US*EHB*LOC*USA017,CON-US-0084,1,CCS-2
EH-US-CHG-0085,US*EHB*LOC*USA017,CON-US-0085,1,CCS-2
